model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
E-VNCF,200,1,128,128,5e-05,10,0.0001,280,5,Adam,0.3206,0.6033,0.2019,0.7256
E-VNCF,200,1,128,128,5e-05,10,0.0001,290,5,Adam,0.3218,0.6042,0.2005,0.7206
E-VNCF,200,1,128,128,5e-05,10,0.0001,300,5,Adam,0.3226,0.6063,0.201,0.7236
CE-VNCF,200,1,128,128,0.0001,10,0.0001,10,5,Adam,0.198,0.3765,0.1399,0.495
CE-VNCF,200,1,128,128,0.0001,10,0.0001,20,5,Adam,0.2878,0.5408,0.1797,0.6475
CE-VNCF,200,1,128,128,0.0001,10,0.0001,30,5,Adam,0.2631,0.4916,0.1635,0.5846
CE-VNCF,200,1,128,128,0.0001,10,0.0001,40,5,Adam,0.2614,0.4909,0.1642,0.5891
CE-VNCF,200,1,128,128,0.0001,10,0.0001,50,5,Adam,0.2638,0.4975,0.1681,0.6022
CE-VNCF,200,1,128,128,0.0001,10,0.0001,60,5,Adam,0.271,0.513,0.1737,0.6249
CE-VNCF,200,1,128,128,0.0001,10,0.0001,70,5,Adam,0.2743,0.5201,0.1768,0.6376
CE-VNCF,200,1,128,128,0.0001,10,0.0001,80,5,Adam,0.2816,0.5325,0.1797,0.6489
CE-VNCF,200,1,128,128,0.0001,10,0.0001,90,5,Adam,0.2858,0.54,0.1822,0.6594
CE-VNCF,200,1,128,128,0.0001,10,0.0001,100,5,Adam,0.2916,0.5506,0.1847,0.6682
CE-VNCF,200,1,128,128,0.0001,10,0.0001,110,5,Adam,0.2954,0.5585,0.1881,0.682
CE-VNCF,200,1,128,128,0.0001,10,0.0001,120,5,Adam,0.2948,0.5572,0.1873,0.679
CE-VNCF,200,1,128,128,0.0001,10,0.0001,130,5,Adam,0.2986,0.5635,0.1883,0.6827
CE-VNCF,200,1,128,128,0.0001,10,0.0001,140,5,Adam,0.3008,0.5683,0.1905,0.6893
CE-VNCF,200,1,128,128,0.0001,10,0.0001,150,5,Adam,0.3011,0.5682,0.1898,0.6876
CE-VNCF,200,1,128,128,0.0001,10,0.0001,160,5,Adam,0.3043,0.5738,0.1909,0.6918
CE-VNCF,200,1,128,128,0.0001,10,0.0001,170,5,Adam,0.3061,0.578,0.1924,0.6974
CE-VNCF,200,1,128,128,0.0001,10,0.0001,180,5,Adam,0.3057,0.5765,0.1921,0.6953
CE-VNCF,200,1,128,128,0.0001,10,0.0001,190,5,Adam,0.3063,0.5759,0.1917,0.6923
CE-VNCF,200,1,128,128,0.0001,10,0.0001,200,5,Adam,0.3069,0.5777,0.1917,0.6936
CE-VNCF,200,1,128,128,0.0001,10,0.0001,210,5,Adam,0.3067,0.5778,0.1924,0.6957
CE-VNCF,200,1,128,128,0.0001,10,0.0001,220,5,Adam,0.3067,0.5778,0.1933,0.6975
CE-VNCF,200,1,128,128,0.0001,10,0.0001,230,5,Adam,0.3082,0.5816,0.1931,0.7002
CE-VNCF,200,1,128,128,0.0001,10,0.0001,240,5,Adam,0.3102,0.5848,0.1947,0.7042
CE-VNCF,200,1,128,128,0.0001,10,0.0001,250,5,Adam,0.3092,0.5827,0.1947,0.7042
CE-VNCF,200,1,128,128,0.0001,10,0.0001,260,5,Adam,0.3126,0.5891,0.1959,0.7079
CE-VNCF,200,1,128,128,0.0001,10,0.0001,270,5,Adam,0.3116,0.5874,0.1952,0.7066
CE-VNCF,200,1,128,128,0.0001,10,0.0001,280,5,Adam,0.3139,0.5905,0.1962,0.7083
CE-VNCF,200,1,128,128,0.0001,10,0.0001,290,5,Adam,0.3106,0.5853,0.1955,0.7068
CE-VNCF,200,1,128,128,0.0001,10,0.0001,300,5,Adam,0.3126,0.5893,0.1964,0.7093
CE-NCF,100,1,128,128,0.001,10,0.0001,10,5,Adam,0.1675,0.3271,0.1229,0.4416
CE-NCF,100,1,128,128,0.001,10,0.0001,20,5,Adam,0.205,0.3905,0.1378,0.4942
CE-NCF,100,1,128,128,0.001,10,0.0001,30,5,Adam,0.2253,0.4249,0.1473,0.5255
CE-NCF,100,1,128,128,0.001,10,0.0001,40,5,Adam,0.2394,0.4522,0.1559,0.5569
CE-NCF,100,1,128,128,0.001,10,0.0001,50,5,Adam,0.2517,0.4728,0.1608,0.576
CE-NCF,100,1,128,128,0.001,10,0.0001,60,5,Adam,0.2644,0.4945,0.1669,0.5975
CE-NCF,100,1,128,128,0.001,10,0.0001,70,5,Adam,0.2694,0.5051,0.1715,0.6138
CE-NCF,100,1,128,128,0.001,10,0.0001,80,5,Adam,0.2726,0.5108,0.1735,0.6201
